,Equal Weight,Trad. MVO,ML-Enhanced MVO (rank±5%),Black-Litterman,HRP,CCBN-only Benchmark,ML-MVO Raw μ (ablation)
2022-01-12,0.97275413115216,0.9619802445615917,0.9618168373863552,0.9615975303231532,0.9847289545117587,1.0024968801985872,0.9686316142706725
2022-01-13,0.9931735284792036,0.9967905770804345,0.9967490391826535,0.9965385999954242,0.9958764616708299,1.0121997424738536,0.999649031202889
2022-01-14,0.9831889395336006,0.9786648669963569,0.9784835563381371,0.9758755982629999,0.9917876479880886,0.9922555183205019,0.9801425436377317
2022-01-17,0.9609906161024581,0.9606228852528439,0.9604933148132483,0.9612496178607337,0.9745129143369143,0.9897529810083081,0.9625067104231119
2022-01-18,0.9659041011947112,0.9676159129076773,0.9675483829918524,0.966703800932617,0.979324225039129,0.9922492067476427,0.9722792014318286
2022-01-19,0.9610947528621854,0.9622381603180717,0.962122993413398,0.9616976874552339,0.9764378201455206,0.9897466853536739,0.9654439051191334
2022-01-20,0.9662886117545596,0.9702653248079529,0.9701051712938613,0.971126586223233,0.9775020505828675,0.9921930326649637,0.9684057907975179
2022-01-21,0.9669617764746217,0.9663200110635658,0.9660987065582802,0.9648346019704788,0.9794343380395695,0.9921180492508236,0.9672378197434178
2022-01-24,0.9543259232026269,0.9522479373653117,0.952025198053804,0.9469923232127186,0.9758484645123358,0.9887381724939008,0.960862938351437
2022-01-25,0.9517748384340367,0.9477491833606967,0.9475192599377945,0.9437388009226138,0.9728741776000905,0.984731122744068,0.9547387990420814
2022-01-26,0.9571098309904637,0.9487524650109962,0.9485911240930318,0.9458401142686352,0.9763151232871229,0.9859550274537257,0.9570390235693085
2022-01-27,0.970116668969929,0.9635850128114435,0.9634964330560962,0.9594108926311841,0.9889321459733591,1.0113676462742889,0.9786956018233994
2022-01-28,0.9740678497794593,0.9583085980978611,0.9581642424077965,0.9498526718093963,0.9915782438630871,0.9814728300245709,0.9722033731458652
2022-01-31,0.9799253279464901,0.9659438117791251,0.9658329560744718,0.9588695912436774,0.9986594727060559,1.006134248826944,0.9832706719938714
2022-02-01,0.9646365340626013,0.9485728900391508,0.9484083834208699,0.9430196240525022,0.9850440656975442,0.9808531637854851,0.959936041359891
2022-02-02,0.9637512637813799,0.9499576008461639,0.949840680463255,0.9450542206876366,0.9849055528223174,0.9858072925066486,0.9627568460017605
