Model,ASBN,CCBN,HSBK,KCEL,KEGC,KZTK,KZTO,KZAP
Equal Weight,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
Trad. MVO,0.0388085030701367,0.7958927567833792,0.03360146170937728,7.439066859260893e-18,9.717447844521032e-17,2.366750299453269e-17,1.206437131084805e-16,0.13169727843710652
ML-Enhanced MVO (rank±5%),0.03958354471918224,0.7945730422560727,0.03587354012085408,7.631904497615174e-17,2.3815958394559035e-16,0.0,7.445525485483706e-17,0.12996987290389042
Black-Litterman,0.058380389541766296,0.8106880153981939,6.656493119292643e-17,0.0,0.0,3.5562254773998166e-17,9.712503289691432e-17,0.13093159506003957
HRP,0.02253442456717961,0.081981878307041,0.07989505955101951,0.12513054005526358,0.44964980992221737,0.0834883497183808,0.10365242030152495,0.053667517577373154
