Model,ASBN,CCBN,HSBK,KCEL,KEGC,KZTK,KZTO,KZAP
Equal Weight,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
Trad. MVO (40% cap),0.08239029180912952,0.39999999999999986,0.19885718406316807,0.0,1.686451068312784e-16,0.09914794821825272,0.0,0.2196045759094496
ML-MVO (40% cap),0.08348915606613429,0.4,0.20220558060953311,3.337161581416174e-17,2.3420460991581404e-18,0.09515928366062205,0.0,0.21914597966371058
BL (40% cap),0.11848173419882566,0.39999999999999947,0.22068404378378012,0.0,3.6132265595852944e-16,0.0,0.0,0.2608342220173943
HRP,0.02253442456717961,0.081981878307041,0.07989505955101951,0.12513054005526358,0.44964980992221737,0.0834883497183808,0.10365242030152495,0.053667517577373154
