Ticker,Historical_mu,ML_mu_corrected,Equilibrium_Pi,BL_Posterior_mu
ASBN,0.2713178242430592,0.4971221956644379,0.09545492704486518,0.3725894165656082
CCBN,0.587934696725197,0.8150617174384719,0.03129423913673123,0.5159111649042905
HSBK,0.21983891196115551,0.3649101214395964,0.03997935011514782,0.2703386496671833
KCEL,0.03519655722750281,0.20355426432458734,0.01896427993142784,0.1421408351187893
KEGC,-0.029734658959434727,-0.033716059598965654,0.005416969165421639,-0.015760558099722186
KZTK,0.09540970555155873,0.178619161107672,0.026733256653283587,0.12617228679960066
KZTO,0.04505675915504632,0.20775231773804212,0.025883352933774723,0.15082524355298343
KZAP,0.3063792287206739,0.35798312565036877,0.04834933518514543,0.2712256773758327
