,Equal Weight,Trad. MVO (40% cap),ML-MVO (40% cap),BL (40% cap),HRP
2022-01-12,0.97275413115216,0.9607745405764332,0.9605092416196308,0.9590727150846219,0.9847289545117587
2022-01-13,0.9931735284792036,0.9960758606986815,0.9959725748007747,0.9950369593077246,0.9958764616708299
2022-01-14,0.9831889395336006,0.9783927349788263,0.9781908334929028,0.975400294745963,0.9917876479880886
2022-01-17,0.9609906161024581,0.9588666010758208,0.9585866840095572,0.9575261792338413,0.9745129143369143
2022-01-18,0.9659041011947112,0.96626033343222,0.9660759181827088,0.9638852707974517,0.979324225039129
2022-01-19,0.9610947528621854,0.9606452926185046,0.9603936011751527,0.9583646122516444,0.9764378201455206
2022-01-20,0.9662886117545596,0.9687551975748159,0.968466601551665,0.9679134036491334,0.9775020505828675
2022-01-21,0.9669617764746217,0.9649906433713427,0.9646577986939788,0.962093367727463,0.9794343380395695
2022-01-24,0.9543259232026269,0.9509050279113114,0.9505696131538898,0.9443660973020696,0.9758484645123358
2022-01-25,0.9517748384340367,0.9461927894353204,0.9458318467976062,0.9406174546751231,0.9728741776000905
2022-01-26,0.9571098309904637,0.9470060573678218,0.9466958549691313,0.9422776486271323,0.9763151232871229
2022-01-27,0.970116668969929,0.9616040380045812,0.9613447667426616,0.9554061374395524,0.9889321459733591
2022-01-28,0.9740678497794593,0.9580667216669652,0.9579036319169496,0.9496638772229536,0.9915782438630871
2022-01-31,0.9799253279464901,0.9647295604053451,0.9645149162631518,0.9565977260184623,0.9986594727060559
2022-02-01,0.9646365340626013,0.9474698808972186,0.9472123157912579,0.9409224566735851,0.9850440656975442
2022-02-02,0.9637512637813799,0.9487022951578022,0.9484781687864179,0.9426146650700417,0.9849055528223174
2022-02-03,0.9675939888171852,0.9455112817253422,0.9452733882989177,0.9383501813531088,0.9891500845579231
2022-02-04,0.971579506705638,0.957339049086762,0.9571291131123632,0.9490521049494601,0.99277924197059
2022-02-07,0.9712611233380728,0.9565649742253826,0.9564638689458616,0.9489238966892497,0.9922147664067439
2022-02-08,0.9787085718204446,0.9641834301770628,0.9639843718976833,0.9574604728468435,0.9928902488950334
2022-02-09,0.9772874944596545,0.9613962534299939,0.961287076533289,0.955694763299305,0.9911508807878915
2022-02-10,0.9840355562159359,0.9684557826902198,0.9683928701094395,0.9635621371748808,0.9944227414081183
2022-02-11,0.9834160978399231,0.9693203364580558,0.9692047574427741,0.9647464676694658,0.9940125833870307
2022-02-14,0.9758933257950294,0.9633110322550078,0.9631496073674971,0.9580546335631976,0.990424347760579
2022-02-15,0.975601128777515,0.9636422186597048,0.9635138351483301,0.9581010472070635,0.989130953514541
2022-02-16,0.9797540895135298,0.9609850843062826,0.9608090417829358,0.9554178309728905,0.992212062364481
2022-02-17,0.9764725966375094,0.9590014670675879,0.9588530951978785,0.9539576681669955,0.9883544093791643
2022-02-18,0.9793066919483618,0.9680596263468634,0.9678156224440719,0.9609763506191178,0.9928271113226567
2022-02-21,0.9716119638608541,0.9588010507571353,0.9585511776138395,0.950160443735427,0.9889064224856547
2022-02-22,0.9485411236043343,0.9307211114946842,0.9303253093655891,0.9224214690659857,0.9743045296184655
2022-02-23,0.9609325793159166,0.9442284212321812,0.9439058520747603,0.936437902427698,0.9821132632545345
2022-02-24,0.9376870728554051,0.9219350260667497,0.9214754358343495,0.9117900514224219,0.9681377997153058
2022-02-25,0.9535676699353376,0.9366697414849205,0.9363678140123165,0.9283517594014642,0.9780932381666096
2022-02-28,0.9303190944201638,0.9146636854076493,0.9144866659723759,0.91620150409297,0.953432339890923
2022-03-01,0.937740539606247,0.9206722689805366,0.9203747166021329,0.9186186030426727,0.9619750052385669
2022-03-02,0.9135426439789603,0.9046712069342832,0.9042066250091437,0.8989047009915321,0.950031529446786
2022-03-03,0.8912641506676885,0.887828610979454,0.8872489863334825,0.8809567103032493,0.9388505101043962
2022-03-04,0.8815679828227017,0.8811188105416793,0.8804236049949055,0.8744829374973381,0.9319600842224964
2022-03-09,0.9189802075049479,0.9197521688018137,0.9193557638103862,0.9253974588661821,0.9412806764681756
2022-03-10,0.9330049088441579,0.93183787683566,0.9315797316268104,0.9381167856974825,0.9516291222085547
2022-03-11,0.9288712995254286,0.9275081278282775,0.927195741591955,0.9340807663550215,0.9476898790422962
2022-03-14,0.9236890425632701,0.9230619436058836,0.9228499235925687,0.9308161995936374,0.9400082322418919
2022-03-15,0.9229123871909073,0.918599806890751,0.918402417020599,0.9262322409580427,0.940726451001934
2022-03-16,0.9166404854876334,0.9105210393737502,0.9102950586696122,0.9160364345351547,0.93805421155581
2022-03-17,0.9209363583912119,0.913334143797691,0.9131001583460598,0.9187784291543726,0.9415662277186444
2022-03-18,0.926922544813763,0.9217675758503165,0.9215084912008407,0.9274682767201793,0.9445860873942558
2022-03-24,0.919892085053166,0.9164036233902695,0.916174227511762,0.921717286408847,0.9413874463858546
2022-03-25,0.9141155277562011,0.9133725888622741,0.9131395781532261,0.9183057462007437,0.9413372328109775
2022-03-28,0.9138398292462828,0.8926363665079157,0.892183335264724,0.8937553111905587,0.9450100540978853
2022-03-29,0.9131167036764591,0.8928958815129664,0.8924634862720462,0.893983036898823,0.9467010729515393
2022-03-30,0.9116749145650481,0.8890242886840343,0.888591524796808,0.8894812780334227,0.9460158988732812
2022-03-31,0.9214060315972922,0.9077570188106397,0.9074512647440711,0.9097017595355885,0.9519673360504306
2022-04-01,0.9209340801951118,0.9123018705700716,0.9119774238672779,0.9142258175544233,0.9514002256693731
2022-04-04,0.9141345776822509,0.8993567730900077,0.8989821691312784,0.8997197175104477,0.9474036390406051
2022-04-05,0.9118878610398393,0.9021307739551261,0.9017784252796568,0.9031447721547836,0.9446737500935817
2022-04-06,0.8955631637808962,0.8856767255907194,0.8853024104079428,0.8862694966931547,0.9345804410568734
2022-04-07,0.8822342836419208,0.8768867224149337,0.876537293397079,0.8764933992202071,0.9272226170049608
2022-04-08,0.8870976372740543,0.8833911167634593,0.8830428770671165,0.8833912954408767,0.9298114017385667
2022-04-11,0.8732405423180177,0.8788912138682508,0.8784880647901284,0.8794009227294616,0.8921065455210738
2022-04-12,0.8611283826269426,0.8480480074682691,0.8474824786876555,0.8465202969032384,0.8883534026937827
2022-04-13,0.8661739138589976,0.8795950915760631,0.8791792391179688,0.8803000395463302,0.882137108462404
2022-04-14,0.8765849523964052,0.8927038198555228,0.8922274515355694,0.8926994662598358,0.8901510918436434
2022-04-15,0.870867008150299,0.8867989079225845,0.8863465343353528,0.88764089854517,0.8822341361626371
