Date,Close,Open,High,Low,Volume,Change_pct
2021-01-05,26800.0,26700.0,26949.5,26552.0,70.0,0.37
2021-01-06,26510.0,26899.98,26949.5,26505.05,280.0,-1.08
2021-01-08,26407.77,26510.0,26678.0,26407.77,130.0,-0.39
2021-01-11,26345.01,26409.0,26590.0,26213.6,320.0,-0.24
2021-01-12,26400.0,26450.0,26573.0,26302.0,150.0,0.21
2021-01-13,26400.0,26310.0,26496.99,25816.0,1250.0,0.0
2021-01-14,26478.99,26399.0,26487.99,26000.01,50.0,0.3
2021-01-15,26299.99,26474.99,26474.99,26050.0,100.0,-0.68
2021-01-18,26285.0,26299.99,26299.99,26101.02,70.0,-0.06
2021-01-19,26086.0,26112.0,26397.97,26086.0,300.0,-0.76
2021-01-20,26188.08,26390.0,26391.87,26100.0,110.0,0.39
2021-01-21,25730.0,26188.5,26367.98,25730.0,140.0,-1.75
2021-01-22,26365.99,25755.0,26365.99,25751.0,50.0,2.47
2021-01-25,25856.02,26365.93,26365.93,25823.0,20.0,-1.93
2021-01-26,25750.06,26296.5,26296.5,25728.16,150.0,-0.41
2021-01-27,26050.01,26104.0,26294.0,25756.0,210.0,1.16
2021-01-28,26270.96,26277.0,26279.95,26030.0,40.0,0.85
2021-01-29,26015.07,26270.96,26295.0,26005.0,80.0,-0.97
2021-02-01,26249.83,26030.0,26293.0,26030.0,30.0,0.9
2021-02-02,26288.99,26100.0,26295.0,26051.0,100.0,0.15
2021-02-03,26293.97,26288.0,26293.99,26050.0,1480.0,0.02
2021-02-04,26800.0,26292.99,26800.0,26100.02,590.0,1.92
2021-02-05,27500.0,26800.0,27500.0,26500.0,2140.0,2.61
2021-02-08,27964.49,27260.0,27964.49,27250.0,320.0,1.69
2021-02-09,27191.98,27950.0,27950.0,26601.0,890.0,-2.76
2021-02-10,27240.0,27191.7,27240.0,26130.0,1860.0,0.18
2021-02-11,27239.99,27000.01,27240.0,26515.01,260.0,0.0
2021-02-12,26720.0,27000.0,27240.0,26610.0,40.0,-1.91
2021-02-15,26700.01,27000.0,27215.0,26550.0,80080.0,-0.07
2021-02-16,26650.0,27189.0,27190.0,26650.0,130.0,-0.19
2021-02-17,27045.0,26700.02,27100.0,26558.01,240.0,1.48
2021-02-18,26900.0,27045.0,27099.0,26700.0,180.0,-0.54
2021-02-19,26888.96,27038.0,27038.0,26500.0,830.0,-0.04
2021-02-22,26860.0,26880.0,27243.1,26650.02,540.0,-0.11
2021-02-23,26570.0,26900.0,27100.0,26500.0,290.0,-1.08
2021-02-24,26900.0,26600.0,27100.0,26560.0,240.0,1.24
2021-02-25,26999.0,27150.0,27229.89,26900.0,90.0,0.37
2021-02-26,26999.0,26999.0,27000.0,26700.0,30.0,0.0
2021-03-01,27000.0,27238.0,27238.0,26610.0,180.0,0.0
2021-03-02,27270.0,26800.02,27445.0,26655.02,330.0,1.0
2021-03-03,27100.02,27299.0,27300.0,26905.0,10.0,-0.62
2021-03-04,27294.0,27100.0,27294.0,26900.0,40.0,0.72
2021-03-05,26901.01,26906.0,27200.0,26900.01,20.0,-1.44
2021-03-09,27199.0,26901.01,27199.0,26801.01,290.0,1.11
2021-03-10,27194.0,27198.0,27198.0,26800.0,500.0,-0.02
2021-03-11,26804.0,27100.0,27190.0,26804.0,10.0,-1.43
2021-03-12,27000.0,27190.0,27190.0,26820.0,30.0,0.73
2021-03-15,27100.0,26815.0,27190.0,26811.0,20.0,0.37
2021-03-16,26909.98,26804.0,27100.0,26542.0,140.0,-0.7
2021-03-17,26900.0,26590.0,26948.0,26590.0,60.0,-0.04
2021-03-18,27000.0,26506.0,27200.0,26506.0,210.0,0.37
2021-03-19,27100.0,27100.0,27100.0,26700.0,290.0,0.37
2021-03-25,26652.0,27000.0,27300.0,26652.0,190.0,-1.65
2021-03-26,26890.0,26610.0,27100.0,26505.0,230.0,0.89
2021-03-29,26895.0,26622.01,26895.0,26622.01,50.0,0.02
2021-03-30,26900.0,27280.0,27280.0,26697.0,220.0,0.02
2021-03-31,27040.0,27100.0,27198.9,27001.0,100.0,0.52
2021-04-01,27186.0,27199.0,27199.0,27000.0,70.0,0.54
2021-04-02,27298.0,27188.0,27299.0,27004.0,190.0,0.41
2021-04-05,27489.0,27297.5,27500.0,27155.0,200.0,0.7
2021-04-06,27300.01,27489.0,27489.0,27215.0,30.0,-0.69
2021-04-07,27469.0,27192.0,27485.0,27192.0,2000.0,0.62
2021-04-08,27394.0,27451.0,27469.0,27190.1,80.0,-0.27
2021-04-09,27319.0,27200.04,27380.0,27002.0,60.0,-0.27
2021-04-12,27500.0,27100.01,27500.0,27075.0,390.0,0.66
2021-04-13,27601.0,27500.0,27622.0,27485.0,420.0,0.37
2021-04-14,27600.0,27200.0,27900.0,27200.0,520.0,0.0
2021-04-15,27850.0,27600.0,27900.0,27600.0,340.0,0.91
2021-04-16,28839.98,28200.0,28839.98,28200.0,900.0,3.55
